Name,locus,annot,period_WT,period_toc1,dperiod,amp_WT,WT1pMMC,WT2pMMC,T1pMMC,T2pMMC,rhythmic_WT,rhythmic_toc1,period_class,does_not_shorten
264605_at,AT1G04550,IAA12 (AUXIN-INDUCED PROTEIN 12); transcription factor,23.05,22.450000000000003,-0.5999999999999979,1.00989965287644,0.0102,0.0287,0.015,0.0221,True,True,invariant,True
261581_at,AT1G01140,CIPK9 (CBL-INTERACTING PROTEIN KINASE 9); kinase,24.95,24.35,-0.5999999999999979,1.2535655399736196,0.0226,0.0264,0.0056,0.0261,True,True,invariant,True
261272_at,AT1G26665,similar to RNA polymerase II mediator complex protein-related [Arabidopsis thaliana] (TAIR:AT5G41910.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO62915.1); contains domain PTHR13345:SF2 (PTHR13345:SF2); contains domain PD331788 (PD331788); contains domain PTHR13345 (PTHR13345),25.2,24.6,-0.5999999999999979,1.3753818271177054,0.0285,0.0157,0.0819,0.0852,True,True,invariant,True
247937_at,AT5G57110,"ACA8 (AUTOINHIBITED CA2+ -ATPASE, ISOFORM 8); calcium-transporting ATPase/ calmodulin binding",23.3,22.700000000000003,-0.5999999999999979,2.384338269446385,0.0164,0.0063,0.0152,0.0117,True,True,invariant,True
251713_at,AT3G56080,dehydration-responsive protein-related,22.950000000000003,22.4,-0.5500000000000043,1.9868562122211197,0.0093,0.0181,0.0157,0.0218,True,True,invariant,True
248195_at,AT5G54110,ATMAMI (ARABIDOPSIS THALIANA MEMBRANE-ASSOCIATED MANNITOL-INDUCED); structural molecule,23.700000000000003,23.15,-0.5500000000000043,1.3776403013394352,0.0106,0.0086,0.0535,0.0122,True,True,invariant,True
245281_at,AT4G15560,CLA1 (CLOROPLASTOS ALTERADOS 1),22.2,21.65,-0.5500000000000007,1.2745052675881992,0.0334,0.0172,0.0348,0.0644,True,True,invariant,True
245038_at,AT2G26560,PLP2 (PHOSPHOLIPASE A 2A); nutrient reservoir,23.3,22.75,-0.5500000000000007,2.107347441324821,0.0186,0.009,0.03,0.0443,True,True,invariant,True
266720_s_at,AT2G46670;AT2G46790,"[AT2G46670, pseudo-response regulator, putative / timing of CAB expression 1-like protein, putative];[AT2G46790, APRR9 (PSEUDO-RESPONSE REGULATOR 9); transcription regulator]",23.65,23.1,-0.5499999999999972,2.788809993166895,0.0077,0.0135,0.008,0.0111,True,True,invariant,True
261417_at,AT1G07700,thioredoxin family protein,22.9,22.35,-0.5499999999999972,1.1875661859861149,0.0143,0.0254,0.0078,0.0698,True,True,invariant,True
246126_at,AT5G20070,ATNUDT19 (Arabidopsis thaliana Nudix hydrolase homolog 19); hydrolase,22.9,22.35,-0.5499999999999972,1.37417932196609,0.0113,0.0254,0.0093,0.00681,True,True,invariant,True
259786_at,AT1G29660,GDSL-motif lipase/hydrolase family protein,23.950000000000003,23.45,-0.5000000000000036,1.3956472053395501,0.0201,0.0142,0.042,0.0116,True,True,invariant,True
266166_at,AT2G28080,glycosyltransferase family protein,26.200000000000003,25.7,-0.5000000000000036,0.9473218571575455,0.0333,0.02,0.095,0.0409,True,True,invariant,True
264479_at,AT1G77280,protein kinase family protein,25.65,25.15,-0.5,0.6619344105054648,0.0139,0.0349,0.0658,0.0257,True,True,invariant,True
267392_at,AT2G44490,"PEN2 (PENETRATION 2); hydrolase, hydrolyzing O-glycosyl compounds",23.05,22.55,-0.5,1.0271868189198505,0.0074,0.0159,0.0156,0.0195,True,True,invariant,True
246427_at,AT5G17400,"ADP, ATP carrier protein, mitochondrial, putative / ADP/ATP translocase, putative / adenine nucleotide translocator, putative",23.9,23.4,-0.5,0.9927353599420701,0.0703,0.0369,0.0426,0.0814,True,True,invariant,True
265882_at,AT2G42490,"copper amine oxidase, putative",23.65,23.15,-0.5,1.1699435040523305,0.0216,0.0148,0.0184,0.0481,True,True,invariant,True
249215_at,AT5G42800,DFR (DIHYDROFLAVONOL 4-REDUCTASE); dihydrokaempferol 4-reductase,24.85,24.35,-0.5,3.873268846637525,0.0168,0.0266,0.0665,0.0987,True,True,invariant,True
254659_at,AT4G18240,"ATSS4/SSIV (STARCH SYNTHASE 4); transferase, transferring glycosyl groups",24.6,24.1,-0.5,1.700241199502135,0.0056,0.0122,0.0412,0.0477,True,True,invariant,True
252911_at,AT4G39510,"CYP96A12 (cytochrome P450, family 96, subfamily A, polypeptide 12); oxygen binding",22.75,22.25,-0.5,2.129347106787905,0.0078,0.0323,0.0484,0.0716,True,True,invariant,True
251058_at,AT5G01790,unknown protein,24.05,23.55,-0.5,1.21561280261955,0.0188,0.0595,0.045,0.0848,True,True,invariant,True
257144_at,AT3G27300,G6PD5 (GLUCOSE-6-PHOSPHATE DEHYDROGENASE 5); glucose-6-phosphate dehydrogenase,22.9,22.4,-0.5,1.1341476354805207,0.0126,0.0203,0.0162,0.0246,True,True,invariant,True
245524_at,AT4G15920,nodulin MtN3 family protein,23.85,23.35,-0.5,1.292591347005465,0.0074,0.0466,0.0855,0.0454,True,True,invariant,True
258437_at,AT3G16560,protein phosphatase 2C-related / PP2C-related,23.0,22.549999999999997,-0.45000000000000284,1.2736411480728407,0.0254,0.0218,0.0147,0.0185,True,True,invariant,True
250981_at,AT5G03140,lectin protein kinase family protein,22.950000000000003,22.5,-0.45000000000000284,1.20140855339196,0.0147,0.0252,0.0711,0.0133,True,True,invariant,True
254016_at,AT4G26150,CGA1 (CYTOKININ-RESPONSIVE GATA FACTOR 1); transcription factor,23.3,22.85,-0.4499999999999993,1.5796577312239402,0.0139,0.0192,0.0314,0.0434,True,True,invariant,True
256567_at,AT3G19553,amino acid permease family protein,22.65,22.2,-0.4499999999999993,1.2570798049408607,0.0259,0.0155,0.033,0.0383,True,True,invariant,True
258902_at,AT3G06483,PDK (PYRUVATE DEHYDROGENASE KINASE); ATP binding / pyruvate dehydrogenase (acetyl-transferring) kinase,23.45,23.0,-0.4499999999999993,0.8758052817119539,0.0204,0.0196,0.0392,0.0615,True,True,invariant,True
264841_at,AT1G03740,protein kinase family protein,22.4,21.95,-0.4499999999999993,1.3172693904136348,0.0129,0.0446,0.0721,0.0883,True,True,invariant,True
