name,locus,annot,period_WT,period_toc1,dperiod,fwd_nugap,fwd_within,fwd_r2_WT,fwd_r2_toc1
262290_at,AT1G70985,hydroxyproline-rich glycoprotein family protein,23.75,20.75,-3.0,0.035393957403680426,0.08834753508706414,0.6973821964923532,0.7577197252527289
266391_at,AT2G41290,strictosidine synthase family protein,24.0,21.25,-2.75,0.037917165630077056,0.14072862536429195,0.6739174281634265,0.6121326349123348
245038_at,AT2G26560,PLP2 (PHOSPHOLIPASE A 2A); nutrient reservoir,23.25,22.75,-0.5,0.041736384858579376,0.1690005015784088,0.8636367637601571,0.6305932747466236
250243_at,AT5G13630,GUN5 (GENOMES UNCOUPLED 5),23.75,20.25,-3.5,0.04592715679444584,0.16145998698681086,0.6282946472253624,0.6170326067339869
265999_at,AT2G24100,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G30780.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO66612.1),25.5,19.75,-5.75,0.04791108314359297,0.051565011697438885,0.5419683272260127,0.6641300357765451
259990_s_at,AT5G23410;AT1G68050;AT5G42730,"[AT5G23410, similar to FKF1 (FLAVIN-BINDING KELCH DOMAIN F BOX PROTEIN), ubiquitin-protein ligase [Arabidopsis thaliana] (TAIR:AT1G68050.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42365.1); contains domain PTHR23244 (PTHR23244); contains domain PTHR23244:SF9 (PTHR23244:SF9)];[AT1G68050, FKF1 (FLAVIN-BINDING KELCH DOMAIN F BOX PROTEIN); ubiquitin-protein ligase];[AT5G42730, pseudogene similar to ACT domain-containing protein, similar to F-box family protein]",23.5,22.25,-1.25,0.050472712296991164,0.08099734791482686,0.7766247523413337,0.7940227775359259
259373_at,AT1G69160,unknown protein,23.5,19.5,-4.0,0.05099803371536646,0.20590817324815777,0.5975035382605742,0.6104879037038028
266396_at,AT2G38790,unknown protein,23.75,22.25,-1.5,0.053211103057404965,0.08866951334694129,0.882579847586901,0.8969495713476587
245242_at,AT1G44446,CH1 (CHLOROPHYLL B BIOSYNTHESIS); chlorophyllide a oxygenase,23.75,21.5,-2.25,0.06018910480643897,0.21078056490190697,0.6095486975942186,0.5974014579225388
259992_at,AT1G67970,AT-HSFA8 (Arabidopsis thaliana heat shock transcription factor A8); DNA binding / transcription factor,24.5,22.25,-2.25,0.06511309489176335,0.09488767048636934,0.7735717245078138,0.8140770142829298
267036_at,AT2G38465,similar to unnamed protein product [Vitis vinifera] (GB:CAO61577.1),24.25,22.5,-1.75,0.06696497992237073,0.1278673517181223,0.6874666334324857,0.699717780523669
247013_at,AT5G67480,BT4 (BTB AND TAZ DOMAIN PROTEIN 4); protein binding / transcription regulator,23.75,21.5,-2.25,0.06729595154789192,0.18702220864580402,0.8023973882536846,0.6458171392283131
262883_at,AT1G64780,ATAMT1;2 (AMMONIUM TRANSPORTER 1;2); ammonium transmembrane transporter,23.75,22.25,-1.5,0.06845228111126266,0.3232793009575097,0.8157871732169351,0.6808386553739869
259595_at,AT1G28050,zinc finger (B-box type) family protein,24.25,23.0,-1.25,0.07302665725202884,0.19696130448399687,0.7614493968397253,0.7337575176916984
249174_at,AT5G42900,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G33980.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN75496.1),23.5,22.0,-1.5,0.08345603993943673,0.06980020862287131,0.841926371962975,0.8548456561744022
247214_at,AT5G64850,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G09960.1); similar to 80C09_15 [Brassica rapa subsp. pekinensis] (GB:AAZ41826.1),23.25,21.25,-2.0,0.08524448766020773,0.08319885334236529,0.7862034130702878,0.7851153547064653
250649_at,AT5G06690,(THIOREDOXIN-LIKE 5); thiol-disulfide exchange intermediate,24.5,21.25,-3.25,0.08538634268588206,0.21852102425219652,0.8375227021716627,0.8380283177073893
258402_at,AT3G15450,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G27450.1); similar to unknown [Populus trichocarpa] (GB:ABK93866.1); contains domain PTHR11772 (PTHR11772); contains domain G3DSA:3.60.20.10 (G3DSA:3.60.20.10); contains domain SSF56235 (SSF56235),23.5,23.5,0.0,0.08710101788300853,0.15492709556628503,0.7378541971001603,0.748832669056054
264045_at,AT2G22450,"riboflavin biosynthesis protein, putative",24.0,22.0,-2.0,0.09134344126111242,0.10123029773947827,0.7406811545703376,0.6961218513053806
250412_at,AT5G11150,ATVAMP713 (Arabidopsis thaliana vesicle-associated membrane protein 713),23.25,21.75,-1.5,0.09172888724317169,0.19684328456248637,0.7294041778397631,0.5479980086952249
252475_s_at,AT5G59570;AT3G46640,"[AT5G59570, myb family transcription factor];[AT3G46640, PCL1 (PHYTOCLOCK 1); DNA binding / transcription factor]",23.75,22.5,-1.25,0.0927271211536104,0.1317008132131808,0.7701336104051532,0.7694887729235125
267364_at,AT2G40080,ELF4 (EARLY FLOWERING 4),23.25,22.25,-1.0,0.0933611770893996,0.20684910716867588,0.847244143773264,0.7917066025224855
247786_at,AT5G58600,PMR5 (POWDERY MILDEW RESISTANT 5),24.25,20.75,-3.5,0.09434668694523311,0.08950889080625918,0.6904604538387407,0.6249870871376961
247949_at,AT5G57220,"CYP81F2 (cytochrome P450, family 81, subfamily F, polypeptide 2); oxygen binding",23.5,23.0,-0.5,0.09445898339563913,0.15280101074938884,0.6057835096255264,0.6920723163339189
247668_at,AT5G60100,APRR3 (PSEUDO-RESPONSE REGULATOR 3); transcription regulator,25.0,21.0,-4.0,0.0944875288739848,0.4354233825497854,0.7807523375727041,0.7531728159439899
257932_at,AT3G17040,HCF107 (HIGH CHLOROPHYLL FLUORESCENT 107); binding,23.75,21.25,-2.5,0.09746039978088933,0.07932533896365372,0.6858054461986169,0.7140534162621384
246490_at,AT5G15950;AT5G15948,"[AT5G15950, adenosylmethionine decarboxylase family protein];[AT5G15948, CPuORF10 (Conserved peptide upstream open reading frame 10)]",23.25,21.25,-2.0,0.10073321606273491,0.0680479819381522,0.7833918271521616,0.7028094279909639
248683_at,AT5G48490,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein,22.75,21.5,-1.25,0.1031810768686719,0.1108089523293882,0.5651284429460208,0.5055769586342047
246831_at,AT5G26340,MSS1 (SUGAR TRANSPORT PROTEIN 13); carbohydrate transmembrane transporter/ hexose:hydrogen symporter/ high-affinity hydrogen:glucose symporter/ sugar:hydrogen ion symporter,23.25,21.25,-2.0,0.10409796855101654,0.14967008153766093,0.8471150689936252,0.6873172913726617
260412_at,AT1G69830,AMY3/ATAMY3 (ALPHA-AMYLASE-LIKE 3); alpha-amylase,24.0,21.0,-3.0,0.10459962970803548,0.1621120956257782,0.7459377346049533,0.8173051001234216
248744_at,AT5G48250,zinc finger (B-box type) family protein,23.75,22.0,-1.75,0.10556908676688853,0.17456007883782662,0.8096438879358756,0.8264416806124272
252468_at,AT3G46970,"ATPHS2/PHS2 (ALPHA-GLUCAN PHOSPHORYLASE 2); phosphorylase/ transferase, transferring glycosyl groups",23.75,20.75,-3.0,0.10575887097666999,0.18557403813110934,0.8408517360649554,0.8712711882543922
263548_at,AT2G21660,"ATGRP7 (COLD, CIRCADIAN RHYTHM, AND RNA BINDING 2); RNA binding / double-stranded DNA binding / single-stranded DNA binding",23.75,21.75,-2.0,0.1057631245764341,0.07610215285295885,0.7544362639231511,0.8259036079400832
261613_at,AT1G49720,ABF1 (ABSCISIC ACID RESPONSIVE ELEMENT-BINDING FACTOR 1); DNA binding / transcription activator/ transcription factor,23.5,21.5,-2.0,0.10705244379851282,0.16863141491299574,0.8220024024254401,0.7822382184930455
263249_at,AT2G31360,ADS2 (16:0DELTA9 ARABIDOPSIS DESATURASE 2); oxidoreductase,23.25,22.0,-1.25,0.1085258457184026,0.24558631330440364,0.8731824483373241,0.7636540055453769
247443_at,AT5G62720,integral membrane HPP family protein,24.5,22.0,-2.5,0.10862461894563008,0.13641399115136837,0.7015127332501896,0.6877449865078702
