name,locus,annot,period_WT,period_toc1,dperiod,rev_nugap,rev_within,rev_r2_WT,rev_r2_toc1
247949_at,AT5G57220,"CYP81F2 (cytochrome P450, family 81, subfamily F, polypeptide 2); oxygen binding",23.5,23.0,-0.5,0.013184077424189488,0.1607026887757297,0.7142786539247541,0.6699425836845455
261718_at,AT1G18390,protein kinase family protein,23.25,22.5,-0.75,0.01602718597688689,0.15697440294056933,0.6838441532256049,0.687378410957139
247478_at,AT5G62360,invertase/pectin methylesterase inhibitor family protein,24.0,22.0,-2.0,0.021048737183863644,0.2120341435320355,0.62225518905902,0.6616040425717186
249769_at,AT5G24120,SIGE (RNA polymerase sigma subunit E); DNA binding / DNA-directed RNA polymerase/ sigma factor/ transcription factor,24.0,21.5,-2.5,0.021464365949644244,0.14904463587805522,0.6031616279530237,0.5696401819764286
253425_at,AT4G32190,centromeric protein-related,23.25,20.75,-2.5,0.0221485217723783,0.05915575648657871,0.6354304326223921,0.7221411909361357
259927_at,AT1G75100,JAC1 (J-DOMAIN PROTEIN REQUIRED FOR CHLOROPLAST ACCUMULATION RESPONSE 1); heat shock protein binding,23.0,21.25,-1.75,0.02460495947936225,0.09082614553561838,0.6086922996358752,0.7863145166675655
248169_at,AT5G54610,ANK (ANKYRIN); protein binding,24.75,21.75,-3.0,0.02748280066441764,0.06663297760274135,0.7069893015948253,0.7508827858656453
247706_at,AT5G59480,haloacid dehalogenase-like hydrolase family protein,24.5,21.25,-3.25,0.02767376993324196,0.08062465346098283,0.6848324403180294,0.7595781932912946
245346_at,AT4G17090,"CT-BMY (BETA-AMYLASE 3, BETA-AMYLASE 8); beta-amylase",24.25,21.75,-2.5,0.027829227108110834,0.21846621958256413,0.671026323124688,0.7907651049515579
267063_at,AT2G41120,similar to unnamed protein product [Vitis vinifera] (GB:CAO18305.1); contains InterPro domain Protein of unknown function DUF309 (InterPro:IPR005500),23.25,21.25,-2.0,0.029328376332283662,0.061683057318345405,0.5800449749554035,0.7673370822076884
