name,locus,annot,fwd_r2_WT,fwd_r2_toc1,fwd_nugap,fwd_within,rev_r2_WT,rev_r2_toc1,rev_nugap,rev_within,period_WT,period_toc1,dperiod,period_class,does_not_shorten,fwd_reliable,rev_reliable,robust_both
266391_at,AT2G41290,strictosidine synthase family protein,0.6739174281634265,0.6121326349123348,0.037917165630077056,0.14072862536429195,0.6068646862355077,0.7459618752521764,0.07494476555280677,0.09431135343326441,24.0,21.25,-2.75,shortened,False,True,True,True
245038_at,AT2G26560,PLP2 (PHOSPHOLIPASE A 2A); nutrient reservoir,0.8636367637601571,0.6305932747466236,0.041736384858579376,0.1690005015784088,0.6568337966193877,0.8039292788092085,0.11561636444673147,0.08916636246592163,23.25,22.75,-0.5,invariant,True,True,True,True
247013_at,AT5G67480,BT4 (BTB AND TAZ DOMAIN PROTEIN 4); protein binding / transcription regulator,0.8023973882536846,0.6458171392283131,0.06729595154789192,0.18702220864580402,0.5476980593245677,0.5775985880240155,0.11161890837413185,0.22378567048536915,23.75,21.5,-2.25,shortened,False,True,True,True
247949_at,AT5G57220,"CYP81F2 (cytochrome P450, family 81, subfamily F, polypeptide 2); oxygen binding",0.6057835096255264,0.6920723163339189,0.09445898339563913,0.15280101074938884,0.7142786539247541,0.6699425836845455,0.013184077424189488,0.1607026887757297,23.5,23.0,-0.5,invariant,True,True,True,True
246831_at,AT5G26340,MSS1 (SUGAR TRANSPORT PROTEIN 13); carbohydrate transmembrane transporter/ hexose:hydrogen symporter/ high-affinity hydrogen:glucose symporter/ sugar:hydrogen ion symporter,0.8471150689936252,0.6873172913726617,0.10409796855101654,0.14967008153766093,0.5813649968599407,0.6625892297680984,0.07480033315725526,0.2569001183361478,23.25,21.25,-2.0,shortened,False,True,True,True
260412_at,AT1G69830,AMY3/ATAMY3 (ALPHA-AMYLASE-LIKE 3); alpha-amylase,0.7459377346049533,0.8173051001234216,0.10459962970803548,0.1621120956257782,0.5871503752207818,0.6040056652883621,0.07532150546696861,0.2599170279429673,24.0,21.0,-3.0,,False,True,True,True
252956_at,AT4G38580,ATFP6 (FARNESYLATED PROTEIN 6); metal ion binding,0.7957951664132643,0.7506961647686069,0.1158492678816002,0.0917488516825943,0.6198559084601059,0.7137732336152921,0.07818138776184104,0.03133118394876617,23.5,22.0,-1.5,,False,True,True,True
253425_at,AT4G32190,centromeric protein-related,0.6799591349321649,0.6192894823246837,0.12389843759204941,0.11346770564599078,0.6354304326223921,0.7221411909361357,0.0221485217723783,0.05915575648657871,23.25,20.75,-2.5,,False,True,True,True
248191_at,AT5G54130,calcium-binding EF hand family protein,0.758728665178489,0.8275756285862337,0.12505619121790784,0.052591209682259776,0.6865373769925858,0.6249012476624975,0.0318913265253454,0.14770714120240738,24.0,21.5,-2.5,shortened,False,True,True,True
249769_at,AT5G24120,SIGE (RNA polymerase sigma subunit E); DNA binding / DNA-directed RNA polymerase/ sigma factor/ transcription factor,0.5790848340260684,0.55657133525741,0.12615022292462616,0.08157220366308297,0.6031616279530237,0.5696401819764286,0.021464365949644244,0.14904463587805522,24.0,21.5,-2.5,shortened,False,True,True,True
259841_at,AT1G52200,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G18470.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO45876.1); contains InterPro domain Protein of unknown function Cys-rich (InterPro:IPR006461),0.8671474922900455,0.5681111573571791,0.1347592588363807,0.18073796694045496,0.7360679535296195,0.8495468113109763,0.08691078708547971,0.04746659026757316,22.75,22.25,-0.5,invariant,True,True,True,True
248080_at,AT5G55380,membrane bound O-acyl transferase (MBOAT) family protein / wax synthase-related,0.7026969426059583,0.6646301362172733,0.13583018778146316,0.10246521758954381,0.5648756606430856,0.7361897655295364,0.05350583160235334,0.0706456614085264,23.75,21.0,-2.75,shortened,False,True,True,True
253039_at,AT4G37760,SQE3 (SQUALENE EPOXIDASE 3); oxidoreductase,0.709689787195259,0.5546366452905147,0.14806476579812158,0.08456557124285319,0.5020848122676874,0.5258964047903019,0.14291942744830707,0.17496945933085822,23.75,21.25,-2.5,shortened,False,True,True,True
260137_at,AT1G66330,senescence-associated family protein,0.579046768946627,0.5214354568743016,0.14970176724707282,0.11356220114719845,0.612876352356867,0.8278174271919643,0.044077381054638286,0.1823900610243548,24.25,21.0,-3.25,,False,True,True,True
